room_count,quadrature,floor,region,year,price
4,190.0,0.67,"Алматы, Медеуский р-н",1997,175000000
3,70.0,0.5,"Алматы, Бостандыкский р-н",1957,45000000
3,66.0,0.2,"Алматы, Алмалинский р-н",1976,51500000
3,78.0,1.0,"Алматы, Наурызбайский р-н",2019,40500000
2,63.4,0.89,"Алматы, Турксибский р-н",2017,37900000
3,80.0,1.0,"Алматы, Алмалинский р-н",1978,56000000
2,67.0,0.22,"Алматы, Медеуский р-н",2021,54000000
1,33.0,0.8,"Алматы, Ауэзовский р-н",2023,20000000
2,98.8,0.6,"Алматы, Ауэзовский р-н",2007,68000000
4,104.0,0.23,"Алматы, Алмалинский р-н",2021,117000000
3,107.2,0.77,"Алматы, Ауэзовский р-н",2013,61000000
2,61.4,0.33,"Алматы, Бостандыкский р-н",2022,37950000
1,15.0,1.0,"Алматы, Алатауский р-н",2019,11440000
1,40.0,0.4,"Алматы, Турксибский р-н",2017,23500000
4,127.0,1.0,"Алматы, Алмалинский р-н",1958,166000000
1,44.5,0.2,"Алматы, Бостандыкский р-н",1989,35000000
3,107.5,0.62,"Алматы, Бостандыкский р-н",2021,110000000
2,44.6,0.75,"Алматы, Бостандыкский р-н",1966,25999999
1,46.1,0.5,"Алматы, Ауэзовский р-н",2015,35499999
2,70.0,0.9,"Алматы, Наурызбайский р-н",2020,33500000
2,60.0,0.75,"Алматы, Алмалинский р-н",2019,60600000
2,51.6,0.75,"Алматы, Бостандыкский р-н",2023,44500000
1,39.0,0.11,"Алматы, Наурызбайский р-н",2017,23000000
