price,room_count,quadrature,floor_text,floor,region_text,region,year,flat_toilet,flat_balcony,flat_balcony_g,flat_door,inet_type,flat_parking,live_furniture,flat_flooring,ceiling
72000000,2,155.0,15/15,1.0,Ауэзовский р-н,0.51,2012,2 с/у и более,балкон,no_info,металлическая,no_info,паркинг,частично,ламинат,3.3
72000000,2,155.0,15/15,1.0,Ауэзовский р-н,0.51,2012,no_info,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,3
72000000,2,155.0,15/15,1.0,Ауэзовский р-н,0.51,2012,2 с/у и более,балкон и лоджия,no_info,бронированная,ADSL,паркинг,частично,паркет,3.5
72000000,3,73.0,1/6,0.17,Медеуский р-н,0.69,1974,no_info,no_info,no_info,бронированная,no_info,no_info,no_info,ламинат,3
72000000,3,103.0,14/15,0.93,Ауэзовский р-н,0.51,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,3
72000000,3,96.0,13/16,0.81,Медеуский р-н,0.69,2022,no_info,no_info,no_info,металлическая,оптика,паркинг,без мебели,ламинат,2.8
72000000,3,105.0,18/19,0.95,Алмалинский р-н,0.075,2012,2 с/у и более,лоджия,да,металлическая,проводной,паркинг,полностью,линолеум,2.8
72000000,3,91.0,6/16,0.38,Алмалинский р-н,0.075,2015,совмещенный,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,2.7
72000000,3,84.0,5/5,1.0,Медеуский р-н,0.69,1980,,,,,,,,,
72000000,3,85.0,2/5,0.4,Медеуский р-н,0.69,1980,no_info,no_info,no_info,металлическая,ADSL,рядом охраняемая стоянка,частично,no_info,
72000000,3,80.0,2/10,0.2,Ауэзовский р-н,0.51,2004,no_info,балкон,no_info,металлическая,проводной,рядом охраняемая стоянка,полностью,ламинат,2.8
72000000,2,88.3,5/21,0.24,Бостандыкский р-н,1.0,2010,совмещенный,no_info,no_info,бронированная,no_info,no_info,полностью,ламинат,3
72000000,2,65.0,2/2,1.0,Бостандыкский р-н,1.0,2019,,,,,,,,,
72000000,2,75.0,1/1,1.0,Бостандыкский р-н,1.0,2023,no_info,no_info,no_info,no_info,no_info,no_info,no_info,no_info,
72000000,3,91.0,6/16,0.38,Алмалинский р-н,0.075,2015,совмещенный,no_info,no_info,no_info,no_info,паркинг,no_info,no_info,2.7
72000000,3,85.0,7/16,0.44,Бостандыкский р-н,1.0,2019,2 с/у и более,no_info,no_info,металлическая,no_info,no_info,частично,no_info,3
72000000,3,85.0,7/12,0.58,Ауэзовский р-н,0.51,2019,2 с/у и более,no_info,no_info,металлическая,no_info,no_info,частично,no_info,
72000000,3,69.7,5/5,1.0,Медеуский р-н,0.69,1982,no_info,балкон и лоджия,да,no_info,no_info,рядом охраняемая стоянка,частично,паркет,3
72000000,3,90.0,4/5,0.8,Медеуский р-н,0.69,1982,no_info,no_info,да,no_info,оптика,no_info,частично,паркет,2.85
72000000,3,126.0,14/14,1.0,Бостандыкский р-н,1.0,2003,2 с/у и более,балкон,да,металлическая,no_info,no_info,no_info,ламинат,3
72000000,3,85.0,7/12,0.58,Ауэзовский р-н,0.51,2019,2 с/у и более,лоджия,no_info,no_info,no_info,паркинг,полностью,ламинат,
